,Day,Return
1224,25,0.9962377
1225,22,0.99912461
1226,21,0.99809837
1227,20,1.00231815
1228,19,0.99035763
1229,18,1.00235234
1230,15,0.9846425
1231,14,1.0030303
1232,13,0.99507488
1233,12,0.99524834
1234,11,1.00619024
1235,8,0.99658943
1236,7,0.99615289
1237,6,1.01326381
1238,5,0.98073581
1239,4,0.99192317
1240,1,0.9967601
1241,31,0.98960408
1242,30,1.00160568
1243,29,0.99912494
1244,28,0.99338388
1245,25,1.01704322
1246,24,0.97444242
1247,23,0.99832768
1248,22,1.00090866
1249,21,1.00278151
1250,18,0.98731061
1251,17,1.01817481
1252,16,1.00387165
1253,15,0.98842382
1254,14,0.97586593
1255,11,1.00201132
1256,10,1.01317473
1257,9,1.00399676
1258,8,0.9996195
1259,7,0.99592629
1260,4,0.99976321
1261,3,0.99910102
1262,2,1.00623691
1263,1,1.00019048
1264,30,1.00291322
1265,27,0.99321696
1266,26,1.00342694
1267,25,1.0050708
1268,24,1.00220539
1269,23,1.00057565
1270,20,1.00365912
1271,19,1.04513662
1272,18,1.00755425
1273,17,1.00407249
1274,16,0.99898291
1275,13,1.00841026
1276,12,1.01668405
1277,11,1.00020859
1278,10,1.00661417
1279,9,1.00257881
1280,6,0.99884351
1281,5,1.01240021
1282,4,1.00015968
1283,3,1.00266852
1284,2,0.99691407
1285,30,0.98853416
1286,29,1.00031567
1287,28,0.99774278
1288,27,0.98074547
1289,26,0.99943401
1290,23,0.99774116
1291,22,1.00464181
1292,21,1.00005158
1293,20,1.00253374
1294,19,0.99943152
1295,16,0.99332649
1296,15,0.98568031
1297,14,1.01276007
1298,13,0.99984629
1299,12,1.01991012
1300,9,0.99848682
1301,8,0.99336547
1302,7,0.98634969
1303,6,0.99867252
1304,5,1.00621629
1305,2,1.02393477
1306,1,0.99144675
1307,30,0.98641836
1308,29,0.99366118
1309,28,0.99400407
1310,25,1.00244499
1311,24,1.01039629
1312,23,1.00154639
1313,22,0.998713
1314,21,0.99107143
1315,18,0.99908248
1316,17,0.9989307
1317,16,1.00250128
1318,15,0.98106971
1319,14,0.99964956
1320,11,0.99790178
1321,10,1.00785459
1322,9,0.99205794
1323,8,1.00861504
1324,7,0.99543631
1325,4,1.00585149
1326,3,0.99318637
1327,2,1.01114488
1328,1,0.99964552
1329,31,0.99656826
1330,28,1.00732042
1331,27,0.99786943
1332,26,0.98861585
1333,25,1.00226187
1334,24,0.97980793
1335,21,1.00321146
1336,20,0.9835269
1337,19,0.98913723
1338,18,0.98443267
1339,17,0.98687836
1340,14,1.0137758
1341,13,0.99332267
1342,12,1.02279723
1343,11,1.00038491
1344,10,0.99564072
1345,7,0.97351117
1346,6,1.01418909
1347,5,0.99981085
1348,4,0.9881314
1349,3,1.01248995
1350,28,0.9948228
1351,27,1.00127238
1352,26,0.9720568
1353,25,0.99408015
1354,24,1.00687758
1355,21,1.0
1356,20,1.013947
1357,19,0.9817435
1358,18,1.00458505
1359,17,1.01583605
1360,14,1.04833984
1361,13,1.01285856
